"","task","trialsLeft","practice","trialNum","word1","patch","colorRT","colorResponse","isicolorRT","congruent","colorAccurate","word2","sameResponse","sameRT","isisameRT","same","sameAccurate","word","ink","subid"
"4670","wm",11,TRUE,1,"blue","yellow",0,"NA",0,FALSE,FALSE,"yellow","diff",1625,0,FALSE,TRUE,NA,NA,33
"4671","wm",10,TRUE,2,"yellow","red",0,"NA",0,FALSE,FALSE,"green","diff",1265,0,FALSE,TRUE,NA,NA,33
"4672","wm",9,TRUE,3,"blue","green",0,"NA",0,FALSE,FALSE,"green","diff",625,0,FALSE,TRUE,NA,NA,33
"4673","wm",8,TRUE,4,"red","blue",0,"NA",0,FALSE,FALSE,"red","same",1005,0,TRUE,TRUE,NA,NA,33
"4674","wm",7,TRUE,5,"green","blue",455,"blue",0,FALSE,TRUE,"blue","diff",1453,0,FALSE,TRUE,NA,NA,33
"4675","wm",6,TRUE,6,"yellow","red",0,"NA",0,FALSE,FALSE,"green","diff",891,0,FALSE,TRUE,NA,NA,33
"4676","wm",5,TRUE,7,"red","blue",327,"blue",0,FALSE,TRUE,"blue","diff",922,0,FALSE,TRUE,NA,NA,33
"4677","wm",4,TRUE,8,"green","green",0,"NA",0,TRUE,FALSE,"green","same",1459,0,TRUE,TRUE,NA,NA,33
"4678","wm",3,TRUE,9,"blue","green",0,"NA",0,FALSE,FALSE,"red","diff",1782,0,FALSE,TRUE,NA,NA,33
"4679","wm",2,TRUE,10,"yellow","yellow",0,"NA",0,TRUE,FALSE,"yellow","same",745,0,TRUE,TRUE,NA,NA,33
"4680","wm",1,TRUE,11,"green","yellow",0,"NA",0,FALSE,FALSE,"yellow","diff",1140,0,FALSE,TRUE,NA,NA,33
"4681","wm",72,FALSE,0,"yellow","blue",0,"blue",32,FALSE,FALSE,"blue","diff",987,0,FALSE,TRUE,NA,NA,33
"4682","wm",71,FALSE,1,"red","yellow",490,"yellow",0,FALSE,TRUE,"yellow","diff",875,0,FALSE,TRUE,NA,NA,33
"4683","wm",70,FALSE,2,"red","red",0,"red",11,TRUE,FALSE,"green","diff",1000,0,FALSE,TRUE,NA,NA,33
"4684","wm",69,FALSE,3,"yellow","green",0,"green",62,FALSE,FALSE,"green","diff",1088,0,FALSE,TRUE,NA,NA,33
"4685","wm",68,FALSE,4,"red","blue",0,"blue",0,FALSE,FALSE,"red","same",1609,0,TRUE,TRUE,NA,NA,33
"4686","wm",67,FALSE,5,"yellow","blue",361,"blue",0,FALSE,TRUE,"blue","diff",780,0,FALSE,TRUE,NA,NA,33
"4687","wm",66,FALSE,6,"green","red",328,"red",0,FALSE,TRUE,"green","diff",546,0,TRUE,FALSE,NA,NA,33
"4688","wm",65,FALSE,7,"blue","blue",439,"blue",0,TRUE,TRUE,"blue","same",937,0,TRUE,TRUE,NA,NA,33
"4689","wm",64,FALSE,8,"yellow","green",331,"green",0,FALSE,TRUE,"green","diff",1406,0,FALSE,TRUE,NA,NA,33
"4690","wm",63,FALSE,9,"red","green",0,"green",220,FALSE,FALSE,"red","same",1063,0,TRUE,TRUE,NA,NA,33
